T=0.3, Entropy = 1659.5925899963606, Converged=True, damping=0.5, density N/V=0.9849183753642184, chemical potential=0, N_a=20, a=0.75, PBC=True
T=0.4, Entropy = 1244.6952191890598, Converged=True, damping=0.5, density N/V=0.9849145654908366, chemical potential=0, N_a=20, a=0.75, PBC=True
T=0.5, Entropy = 820.7452983235279, Converged=True, damping=0.5, density N/V=0.8861205896010711, chemical potential=0, N_a=20, a=0.75, PBC=True
T=0.6000000000000001, Entropy = 829.846183985908, Converged=True, damping=0.5, density N/V=0.9846722761273625, chemical potential=0, N_a=20, a=0.75, PBC=True
T=0.7000000000000002, Entropy = 711.4176652400046, Converged=True, damping=0.5, density N/V=0.9841085985830321, chemical potential=0, N_a=20, a=0.75, PBC=True
T=0.8000000000000003, Entropy = 622.7471930208249, Converged=True, damping=0.5, density N/V=0.9829311994854192, chemical potential=0, N_a=20, a=0.75, PBC=True
T=0.9000000000000001, Entropy = 554.0007670124608, Converged=True, damping=0.5, density N/V=0.9809042733419835, chemical potential=0, N_a=20, a=0.75, PBC=True
T=1.0000000000000002, Entropy = 401.28068803692446, Converged=True, damping=0.5, density N/V=0.8693887306228382, chemical potential=0, N_a=20, a=0.75, PBC=True
T=1.1000000000000003, Entropy = 454.84475313968085, Converged=True, damping=0.5, density N/V=0.973612429906009, chemical potential=0, N_a=20, a=0.75, PBC=True
T=1.2000000000000004, Entropy = 418.17437715422324, Converged=True, damping=0.5, density N/V=0.9681566509170119, chemical potential=0, N_a=20, a=0.75, PBC=True
T=1.3000000000000005, Entropy = 387.5280145948505, Converged=True, damping=0.5, density N/V=0.9614647052678706, chemical potential=0, N_a=20, a=0.75, PBC=True
T=1.4000000000000004, Entropy = 361.649988526656, Converged=True, damping=0.5, density N/V=0.9535769606430694, chemical potential=0, N_a=20, a=0.75, PBC=True
T=1.5000000000000004, Entropy = 339.6105516401585, Converged=True, damping=0.5, density N/V=0.9445732192029238, chemical potential=0, N_a=20, a=0.75, PBC=True
T=1.6000000000000005, Entropy = 266.80653967516866, Converged=True, damping=0.5, density N/V=0.7953171140632975, chemical potential=0, N_a=20, a=0.75, PBC=True
T=1.7000000000000004, Entropy = 268.32910212870115, Converged=True, damping=0.6000000000000001, density N/V=0.8109206032261568, chemical potential=0, N_a=20, a=0.75, PBC=True
T=1.8000000000000005, Entropy = 290.22175463300425, Converged=True, damping=0.5, density N/V=0.9120552800728711, chemical potential=0, N_a=20, a=0.75, PBC=True
T=1.9000000000000006, Entropy = 277.870194213504, Converged=True, damping=0.5, density N/V=0.8998423902265547, chemical potential=0, N_a=20, a=0.75, PBC=True
T=2.0000000000000004, Entropy = 239.9126163524736, Converged=False, damping=0.6000000000000001, density N/V=0.7738943412113987, chemical potential=0, N_a=20, a=0.75, PBC=True, Not Converged!
T=2.1000000000000005, Entropy = 257.5364171949477, Converged=True, damping=0.5, density N/V=0.8741931575144148, chemical potential=0, N_a=20, a=0.75, PBC=True
T=2.2000000000000006, Entropy = 226.51821887679918, Converged=False, damping=0.6000000000000001, density N/V=0.7478749021767997, chemical potential=0, N_a=20, a=0.75, PBC=True, Not Converged!
