T=0.1, Entropy = 496.413895731037, Converged=True, damping=0.3, density N/V=1.2913223140346408, chemical potential=0
T=0.2, Entropy = 248.20698205579492, Converged=True, damping=0.3, density N/V=1.2913205480156014, chemical potential=0
T=0.30000000000000004, Entropy = 165.47303579503074, Converged=True, damping=0.3, density N/V=1.2912325720674989, chemical potential=0
T=0.4, Entropy = 124.1166011834029, Converged=True, damping=0.3, density N/V=1.2906434629618755, chemical potential=0
T=0.5, Entropy = 99.32944403285413, Converged=True, damping=0.3, density N/V=1.2889015987206087, chemical potential=0
T=0.6, Entropy = 82.84898418043633, Converged=True, damping=0.3, density N/V=1.2854121173244328, chemical potential=0
T=0.7000000000000001, Entropy = 71.13630986643781, Converged=True, damping=0.3, density N/V=1.279770864591211, chemical potential=0
T=0.8, Entropy = 62.4211521912113, Converged=True, damping=0.3, density N/V=1.2717887837485344, chemical potential=0
T=0.9, Entropy = 55.71772671774005, Converged=True, damping=0.3, density N/V=1.2614687535841553, chemical potential=0
T=1.0, Entropy = 50.43179427910387, Converged=True, damping=0.3, density N/V=1.2489626534584786, chemical potential=0
T=1.1, Entropy = 46.182538819798395, Converged=True, damping=0.3, density N/V=1.2345245228318031, chemical potential=0
T=1.2000000000000002, Entropy = 42.71378427113939, Converged=True, damping=0.3, density N/V=1.218468559232787, chemical potential=0
T=1.3000000000000003, Entropy = 39.84632301048349, Converged=True, damping=0.3, density N/V=1.2011354876371347, chemical potential=0
T=1.4000000000000001, Entropy = 37.450724507368875, Converged=True, damping=0.3, density N/V=1.1828676300465175, chemical potential=0
T=1.5000000000000002, Entropy = 35.43102470159298, Converged=True, damping=0.3, density N/V=1.1639914658667945, chemical potential=0
T=1.6, Entropy = 33.71451464291232, Converged=True, damping=0.3, density N/V=1.1448060540478588, chemical potential=0
T=1.7000000000000002, Entropy = 32.24510744243355, Converged=True, damping=0.3, density N/V=1.1255758675227654, chemical potential=0
T=1.8000000000000003, Entropy = 30.978888456484036, Converged=True, damping=0.3, density N/V=1.106526969408668, chemical potential=0
T=1.9000000000000001, Entropy = 29.881043747320273, Converged=True, damping=0.3, density N/V=1.0878457954739227, chemical potential=0
T=2.0, Entropy = 28.923685261409076, Converged=True, damping=0.3, density N/V=1.0696800064632135, chemical potential=0
T=2.1, Entropy = 28.084275462681045, Converged=True, damping=0.3, density N/V=1.052140948147595, chemical potential=0
T=2.2, Entropy = 27.34446282815642, Converged=True, damping=0.3, density N/V=1.0353072665499317, chemical potential=0
T=2.3000000000000003, Entropy = 26.689205589606544, Converged=True, damping=0.3, density N/V=1.0192292296587568, chemical potential=0
T=2.4000000000000004, Entropy = 26.10610216385315, Converged=True, damping=0.3, density N/V=1.0039333393853447, chemical potential=0
T=2.5000000000000004, Entropy = 25.584872815745083, Converged=True, damping=0.3, density N/V=0.9894268852340395, chemical potential=0
T=2.6, Entropy = 25.11695401434513, Converged=True, damping=0.3, density N/V=0.9757021817499002, chemical potential=0
T=2.7, Entropy = 24.695178116542927, Converged=True, damping=0.3, density N/V=0.9627403271424378, chemical potential=0
