T=0.1, Entropy = 721.808713843705, Damping=0, Converged=False, max_dm=2.0
T=0.2, Entropy = 558.8677550333716, Damping=0, Converged=False, max_dm=1.999999999998
T=0.30000000000000004, Entropy = 18.680114442241376, Damping=0, Converged=False, max_dm=1.9999400738284745
T=0.4, Entropy = 181.29525709567292, Damping=0, Converged=False, max_dm=1.999997790128983
T=0.5, Entropy = 201.64294161522912, Damping=0, Converged=True, max_dm=4.463784897268397e-11
T=0.6, Entropy = 168.09933498212658, Damping=0, Converged=True, max_dm=1.7032365795532911e-09
T=0.7000000000000001, Entropy = 144.18442097290827, Damping=0, Converged=True, max_dm=3.25406757095692e-10
T=0.8, Entropy = 126.29514013817652, Damping=0, Converged=True, max_dm=3.772007671487554e-09
T=0.9, Entropy = 112.42694007779556, Damping=0, Converged=True, max_dm=1.1554004142322327e-09
T=1.0, Entropy = 101.37527508202803, Damping=0, Converged=True, max_dm=7.435226684338048e-09
T=1.1, Entropy = 92.37257165819665, Damping=0, Converged=True, max_dm=2.8868391566128082e-09
T=1.2000000000000002, Entropy = 84.9065274395893, Damping=0, Converged=True, max_dm=1.442256564176958e-09
T=1.3000000000000003, Entropy = 78.62213263709066, Damping=0, Converged=True, max_dm=6.813479974665526e-09
T=1.4000000000000001, Entropy = 73.2656041516763, Damping=0, Converged=True, max_dm=4.237382611460561e-09
T=1.5000000000000002, Entropy = 68.65070996988399, Damping=0, Converged=True, max_dm=3.6309017181768155e-09
T=1.6, Entropy = 64.63770749193513, Damping=0, Converged=True, max_dm=3.642025042660535e-09
T=1.7000000000000002, Entropy = 61.119709396344355, Damping=0, Converged=True, max_dm=4.024541366831613e-09
T=1.8000000000000003, Entropy = 58.01359006754169, Damping=0, Converged=True, max_dm=4.808042797233014e-09
T=1.9000000000000001, Entropy = 55.25375903264191, Damping=0, Converged=True, max_dm=6.116202405648252e-09
T=2.0, Entropy = 52.78779700382569, Damping=0, Converged=True, max_dm=8.184815353251551e-09
T=2.1, Entropy = 50.57333321894379, Damping=0, Converged=True, max_dm=4.428914290866004e-09
T=2.2, Entropy = 48.57576927451506, Damping=0, Converged=True, max_dm=6.932210527832439e-09
T=2.3000000000000003, Entropy = 46.76659238426859, Damping=0, Converged=True, max_dm=5.023999882780572e-09
T=2.4000000000000004, Entropy = 45.1221068951247, Damping=0, Converged=True, max_dm=8.745963453460348e-09
T=2.5000000000000004, Entropy = 43.62246771329495, Damping=0, Converged=True, max_dm=7.937596413487569e-09
T=2.6, Entropy = 42.25093503998659, Damping=0, Converged=True, max_dm=8.148092867088508e-09
T=2.7, Entropy = 40.99329359851756, Damping=0, Converged=True, max_dm=9.334063411081672e-09
T=2.8000000000000003, Entropy = 39.837395655122556, Damping=0, Converged=True, max_dm=8.217941271926321e-09
T=2.9000000000000004, Entropy = 38.77279825082469, Damping=0, Converged=True, max_dm=9.001185352630614e-09
T=3.0000000000000004, Entropy = 37.790472842760316, Damping=0, Converged=True, max_dm=7.46663858519625e-09
T=3.1, Entropy = 36.88257107021506, Damping=0, Converged=True, max_dm=7.575725380348786e-09
T=3.2, Entropy = 36.04223430875666, Damping=0, Converged=True, max_dm=9.222398955621713e-09
T=3.3000000000000003, Entropy = 35.26343751132284, Damping=0, Converged=True, max_dm=9.818281798690265e-09
T=3.4000000000000004, Entropy = 34.54085985542742, Damping=0, Converged=True, max_dm=9.950496315802582e-09
T=3.5000000000000004, Entropy = 33.86977610565456, Damping=0, Converged=True, max_dm=8.176890331501596e-09
T=3.6, Entropy = 33.24596345562688, Damping=0, Converged=True, max_dm=9.489593055800327e-09
T=3.7, Entropy = 32.66561894921106, Damping=0, Converged=True, max_dm=8.755238978253033e-09
T=3.8000000000000003, Entropy = 32.125282357230766, Damping=0, Converged=True, max_dm=8.8322335001223e-09
T=3.9000000000000004, Entropy = 31.621758665043988, Damping=0, Converged=True, max_dm=8.851356370076502e-09
T=4.0, Entropy = 31.15203400827601, Damping=0, Converged=True, max_dm=9.839497328023583e-09
T=4.1, Entropy = 30.713183246931518, Damping=0, Converged=True, max_dm=9.185123911459314e-09
T=4.2, Entropy = 30.302288336340517, Damping=0, Converged=True, max_dm=9.926960004014163e-09
T=4.3, Entropy = 29.916431897011712, Damping=0, Converged=True, max_dm=9.805351280922636e-09
T=4.3999999999999995, Entropy = 29.55283558674779, Damping=0, Converged=True, max_dm=9.90464443795247e-09
T=4.5, Entropy = 29.209070206740936, Damping=0, Converged=True, max_dm=9.450659144150109e-09
T=4.6, Entropy = 28.883152385986683, Damping=0, Converged=True, max_dm=9.264508077366784e-09
T=4.7, Entropy = 28.57349007343365, Damping=0, Converged=True, max_dm=9.743814755047708e-09
T=4.8, Entropy = 28.278777720145122, Damping=0, Converged=True, max_dm=9.171521653250636e-09
T=4.9, Entropy = 27.997910076172857, Damping=0, Converged=True, max_dm=9.693654157150178e-09
