T=0.1, Entropy = 130.5380158721774, Damping=0
T=0.2, Entropy = 203.97484339611722, Damping=0
T=0.30000000000000004, Entropy = 116.7902393189213, Damping=0
T=0.4, Entropy = 87.59758429412395, Damping=0
T=0.5, Entropy = 70.0986871135572, Damping=0
T=0.6, Entropy = 58.46602381220183, Damping=0
T=0.7000000000000001, Entropy = 50.205982573137874, Damping=0
T=0.8, Entropy = 44.07262869977692, Damping=0
T=0.9, Entropy = 39.37339730692861, Damping=0
T=1.0, Entropy = 35.69186819108298, Damping=0
T=1.1, Entropy = 32.761884953391, Damping=0
T=1.2000000000000002, Entropy = 30.40466978485559, Damping=0
T=1.3000000000000003, Entropy = 28.49505278272318, Damping=0
T=1.4000000000000001, Entropy = 26.9423061469077, Damping=0
T=1.5000000000000002, Entropy = 25.67878969710805, Damping=0
T=1.6, Entropy = 24.652987590538007, Damping=0
T=1.7000000000000002, Entropy = 23.825119491189863, Damping=0
T=1.8000000000000003, Entropy = 23.164356830044966, Damping=0
T=1.9000000000000001, Entropy = 22.647341334599354, Damping=0
T=2.0, Entropy = 22.40910640420188, Damping=0
T=2.1, Entropy = 22.04724535467478, Damping=0
T=2.2, Entropy = 21.766866514702997, Damping=0
T=2.3000000000000003, Entropy = 21.53605906900009, Damping=0
T=2.4000000000000004, Entropy = 21.3344037742731, Damping=0
T=2.5000000000000004, Entropy = 21.154689928985917, Damping=0
T=2.6, Entropy = 20.993259629756743, Damping=0
T=2.7, Entropy = 20.847524939113633, Damping=0
T=2.8000000000000003, Entropy = 20.715437017818207, Damping=0
T=2.9000000000000004, Entropy = 20.59530569838026, Damping=0
T=3.0000000000000004, Entropy = 20.485709587864562, Damping=0
T=3.1, Entropy = 20.38543971610309, Damping=0
T=3.2, Entropy = 20.293459622788593, Damping=0
T=3.3000000000000003, Entropy = 20.208875214049296, Damping=0
T=3.4000000000000004, Entropy = 20.13091116960034, Damping=0
T=3.5000000000000004, Entropy = 20.05889207156608, Damping=0
T=3.6, Entropy = 19.992227089085443, Damping=0
T=3.7, Entropy = 19.930397416109802, Damping=0
T=3.8000000000000003, Entropy = 19.87294588130655, Damping=0
T=3.9000000000000004, Entropy = 19.81946829497683, Damping=0
T=4.0, Entropy = 19.76960619955319, Damping=0
T=4.1, Entropy = 19.723040763822937, Damping=0
T=4.2, Entropy = 19.679487615760117, Damping=0
T=4.3, Entropy = 19.638692450408865, Damping=0
T=4.3999999999999995, Entropy = 19.600427281292806, Damping=0
T=4.5, Entropy = 19.564487228824962, Damping=0
T=4.6, Entropy = 19.530687758891393, Damping=0
T=4.7, Entropy = 19.498862300436155, Damping=0
T=4.8, Entropy = 19.468860183406495, Damping=0
T=4.9, Entropy = 19.440544848510324, Damping=0
