T=5.0, Entropy = 56.6277365449818, Damping=0.002
T=5.1, Entropy = 55.742259233219414, Damping=0.002
T=5.199999999999999, Entropy = 54.892116558376365, Damping=0.002
T=5.299999999999999, Entropy = 54.07528333989433, Damping=0.002
T=5.399999999999999, Entropy = 53.289885426627514, Damping=0.002
T=5.499999999999998, Entropy = 52.5341858969098, Damping=0.002
T=5.599999999999998, Entropy = 51.80657274396681, Damping=0.002
T=5.6999999999999975, Entropy = 51.10554786344438, Damping=0.002
T=5.799999999999997, Entropy = 50.429717185212304, Damping=0.002
T=5.899999999999997, Entropy = 49.77778181309414, Damping=0.002
T=5.9999999999999964, Entropy = 49.14853005444242, Damping=0.002

