T=0.1, Entropy = 307.77736929494904, Damping=0
T=0.2, Entropy = 153.8892645339518, Damping=0
T=0.30000000000000004, Entropy = 102.60709835363274, Damping=0
T=0.4, Entropy = 77.02132302200637, Damping=0
T=0.5, Entropy = 61.77066752574101, Damping=0
T=0.6, Entropy = 51.732632169755526, Damping=0
T=0.7000000000000001, Entropy = 44.70230725448403, Damping=0
T=0.8, Entropy = 39.56818003886314, Damping=0
T=0.9, Entropy = 35.705802685739656, Damping=0
T=1.0, Entropy = 32.735475394392935, Damping=0
T=1.1, Entropy = 30.412028686930256, Damping=0
T=1.2000000000000002, Entropy = 28.569618011228396, Damping=0
T=1.3000000000000003, Entropy = 27.091903210218586, Damping=0
T=1.4000000000000001, Entropy = 25.894914017579183, Damping=0
T=1.5000000000000002, Entropy = 24.916677851730125, Damping=0
T=1.6, Entropy = 24.110652021685404, Damping=0
T=1.7000000000000002, Entropy = 23.441398094017348, Damping=0
T=1.8000000000000003, Entropy = 22.88163369444424, Damping=0
T=1.9000000000000001, Entropy = 22.410163582532526, Damping=0
T=2.0, Entropy = 22.01039245480873, Damping=0
T=2.1, Entropy = 21.669235377020204, Damping=0
T=2.2, Entropy = 21.37630778267707, Damping=0
T=2.3000000000000003, Entropy = 21.123316587690606, Damping=0
T=2.4000000000000004, Entropy = 20.903598556508047, Damping=0
T=2.5000000000000004, Entropy = 20.71176789705217, Damping=0
T=2.6, Entropy = 20.543445659057006, Damping=0
T=2.7, Entropy = 20.39505083942376, Damping=0
T=2.8000000000000003, Entropy = 20.263638303537448, Damping=0
T=2.9000000000000004, Entropy = 20.146772401091578, Damping=0
T=3.0000000000000004, Entropy = 20.042427921681014, Damping=0
T=3.1, Entropy = 19.94891208444384, Damping=0
T=3.2, Entropy = 19.864802782904643, Damping=0
T=3.3000000000000003, Entropy = 19.788899449131762, Damping=0
T=3.4000000000000004, Entropy = 19.720183760056024, Damping=0
T=3.5000000000000004, Entropy = 19.657788056181502, Damping=0
T=3.6, Entropy = 19.6009698325951, Damping=0
T=3.7, Entropy = 19.54909103385631, Damping=0
T=3.8000000000000003, Entropy = 19.501601167480374, Damping=0
T=3.9000000000000004, Entropy = 19.45802346723325, Damping=0
T=4.0, Entropy = 19.41794350367366, Damping=0
T=4.1, Entropy = 19.38099976751089, Damping=0
T=4.2, Entropy = 19.34687585054088, Damping=0
T=4.3, Entropy = 19.31529392603915, Damping=0
T=4.3999999999999995, Entropy = 19.286009290704595, Damping=0
T=4.5, Entropy = 19.258805777467735, Damping=0
T=4.6, Entropy = 19.23349188566461, Damping=0
T=4.7, Entropy = 19.209897504494037, Damping=0
T=4.8, Entropy = 19.1878711290387, Damping=0
T=4.9, Entropy = 19.167277486765705, Damping=0
