T=0.1, Entropy = 307.77736929412924
T=0.2, Entropy = 153.8892645335398
T=0.30000000000000004, Entropy = 102.60709835379429
T=0.4, Entropy = 77.02132309945071
T=0.5, Entropy = 61.770669397922426
T=0.6, Entropy = 51.73264729655401
T=0.7000000000000001, Entropy = 44.7023722085228
T=0.8, Entropy = 39.568367994899745
T=0.9, Entropy = 35.70622063934105
T=1.0, Entropy = 32.73624719324588
T=1.1, Entropy = 30.413270796080884
T=1.2000000000000002, Entropy = 28.571416114969466
T=1.3000000000000003, Entropy = 27.094296230201937
T=1.4000000000000001, Entropy = 25.89788914206402
T=1.5000000000000002, Entropy = 24.920176332665775
T=1.6, Entropy = 24.114582277515392
T=1.7000000000000002, Entropy = 23.44565138935316
T=1.8000000000000003, Entropy = 22.886098398319994
T=1.9000000000000001, Entropy = 22.414735755895922
T=2.0, Entropy = 22.01498222616058
T=2.1, Entropy = 21.673769673726625
T=2.2, Entropy = 21.38073044198213
T=2.3000000000000003, Entropy = 21.127586877525882
T=2.4000000000000004, Entropy = 20.907688925985354
T=2.5000000000000004, Entropy = 20.71566151545874
T=2.6, Entropy = 20.547134074745166
T=2.7, Entropy = 20.398531923709204
T=2.8000000000000003, Entropy = 20.26691453730834
T=2.9000000000000004, Entropy = 20.14984949994183
T=3.0000000000000004, Entropy = 20.045313764476575
T=3.1, Entropy = 19.951615898438053
T=3.2, Entropy = 19.86733453745854
T=3.3000000000000003, Entropy = 19.791269414358375
T=3.4000000000000004, Entropy = 19.722402193089785
T=3.5000000000000004, Entropy = 19.65986498450532
T=3.6, Entropy = 19.60291491007375
T=3.7, Entropy = 19.550913450470023
T=3.8000000000000003, Entropy = 19.50330959815465
T=3.9000000000000004, Entropy = 19.45962604868389
T=4.0, Entropy = 19.419447830947625
T=4.1, Entropy = 19.382412904037707
T=4.2, Entropy = 19.34820434713755
T=4.3, Entropy = 19.316543845545738
T=4.3999999999999995, Entropy = 19.287186235853156
T=4.5, Entropy = 19.259914920278007
T=4.6, Entropy = 19.234537997172833
T=4.7, Entropy = 19.21088498399778
T=4.8, Entropy = 19.188804032316856
T=4.9, Entropy = 19.168159552933496
