T=0.1, Entropy = 102567.0861417837
T=0.2, Entropy = 49501.650732964445
T=0.30000000000000004, Entropy = 31220.780671494063
T=0.4, Entropy = 22108.92263104589
T=0.5, Entropy = 18976.95238293506
T=0.6, Entropy = 15238.553245717021
T=0.7000000000000001, Entropy = 12568.31017018034
T=0.8, Entropy = 10565.832840171726
T=0.9, Entropy = 9009.05864722186
T=1.0, Entropy = 7765.505188366634
T=1.1, Entropy = 6752.0327176883075
T=1.2000000000000002, Entropy = 5914.657967857253
T=1.3000000000000003, Entropy = 5217.421625014355
T=1.4000000000000001, Entropy = 4635.59236215365
T=1.5000000000000002, Entropy = 4151.122800881553
T=1.6, Entropy = 3749.5558997295852
T=1.7000000000000002, Entropy = 3418.146353372818
T=1.8000000000000003, Entropy = 3145.0547901446603
T=1.9000000000000001, Entropy = 2919.3283837653757
T=2.0, Entropy = 2731.2428329242107
T=2.1, Entropy = 2572.618193505203
T=2.2, Entropy = 2436.9134762426625
T=2.3000000000000003, Entropy = 2319.099968695698
T=2.4000000000000004, Entropy = 2215.4081508853433
T=2.5000000000000004, Entropy = 2123.0448441774033
T=2.6, Entropy = 2039.9397235633821
T=2.7, Entropy = 1964.5436578285392
T=2.8000000000000003, Entropy = 1895.6791354006646
T=2.9000000000000004, Entropy = 1832.4337454257798

damping=0.002
