T=5.0, Entropy = 4.05537315916038, Converged=True, damping=0.3, density N/V=3.344212126128436
T=4.9, Entropy = 4.045746220594902, Converged=True, damping=0.3, density N/V=3.3297323165751127
T=4.800000000000001, Entropy = 4.036121080862756, Converged=True, damping=0.3, density N/V=3.315210122394107
T=4.700000000000001, Entropy = 4.026508589908019, Converged=True, damping=0.3, density N/V=3.3006564582684663
T=4.600000000000001, Entropy = 4.0169208633777185, Converged=True, damping=0.3, density N/V=3.286083499367185
T=4.500000000000002, Entropy = 4.007371429860644, Converged=True, damping=0.3, density N/V=3.271504818809305
T=4.400000000000002, Entropy = 3.9978753976075474, Converged=True, damping=0.3, density N/V=3.2569355419901767
T=4.3000000000000025, Entropy = 3.988449643744371, Converged=True, damping=0.3, density N/V=3.2423925201722836
T=4.200000000000003, Entropy = 3.9791130295360175, Converged=True, damping=0.3, density N/V=3.2278945261412066
T=4.100000000000003, Entropy = 3.9698866459209956, Converged=True, damping=0.3, density N/V=3.2134624752018173
T=4.0000000000000036, Entropy = 3.960794094344319, Converged=True, damping=0.3, density N/V=3.1991196753578075
T=3.900000000000004, Entropy = 3.951861808905437, Converged=True, damping=0.3, density N/V=3.1848921112001567
T=3.8000000000000043, Entropy = 3.943119427057591, Converged=True, damping=0.3, density N/V=3.1708087668544613
T=3.7000000000000046, Entropy = 3.9346002176073775, Converged=True, damping=0.3, density N/V=3.1569019943372387
T=3.600000000000005, Entropy = 3.9263415766521863, Converged=True, damping=0.3, density N/V=3.14320793489176
T=3.5000000000000053, Entropy = 3.9183856044684937, Converged=True, damping=0.3, density N/V=3.129767002371801
T=3.4000000000000057, Entropy = 3.9107797793742662, Converged=True, damping=0.3, density N/V=3.116624439591851
T=3.300000000000006, Entropy = 3.9035777484354464, Converged=True, damping=0.3, density N/V=3.103830960863772
T=3.2000000000000064, Entropy = 3.896840259845516, Converged=True, damping=0.3, density N/V=3.091443496824855
T=3.1000000000000068, Entropy = 3.8906362682604287, Converged=True, damping=0.3, density N/V=3.0795260613093567
T=3.000000000000007, Entropy = 3.885044252855703, Converged=True, damping=0.3, density N/V=3.0681507646695096
T=2.9000000000000075, Entropy = 3.880153799148146, Converged=True, damping=0.3, density N/V=3.057399003951531
T=2.800000000000008, Entropy = 3.87606751078453, Converged=True, damping=0.3, density N/V=3.047362868154036
T=2.700000000000008, Entropy = 3.872903338136898, Converged=True, damping=0.3, density N/V=3.038146807119899
T=2.6000000000000085, Entropy = 3.870797439007925, Converged=True, damping=0.3, density N/V=3.0298696264216383
T=2.500000000000009, Entropy = 3.869907726564321, Converged=True, damping=0.3, density N/V=3.0226668893403694
T=2.4000000000000092, Entropy = 3.87041831614044, Converged=True, damping=0.3, density N/V=3.0166938328665256
T=2.3000000000000096, Entropy = 3.8725451640739172, Converged=True, damping=0.3, density N/V=3.0121289408372114
T=2.20000000000001, Entropy = 3.8765433112784606, Converged=True, damping=0.3, density N/V=3.0091783689037617
T=2.1000000000000103, Entropy = 3.8827163226746846, Converged=True, damping=0.3, density N/V=3.0080814908612283
T=2.0000000000000107, Entropy = 3.8914287848873808, Converged=True, damping=0.3, density N/V=3.0091179464452518
T=1.900000000000011, Entropy = 3.903123145337189, Converged=True, damping=0.3, density N/V=3.012616737078943
T=1.8000000000000114, Entropy = 3.9183428421327307, Converged=True, damping=0.44999999999999996, density N/V=3.018968170932002
T=1.7000000000000117, Entropy = 3.9395919062995137, Converged=True, damping=0.35, density N/V=3.1422538755959546
T=1.600000000000012, Entropy = 3.9771700803274044, Converged=True, damping=0.3, density N/V=3.355693307845127
T=1.5000000000000124, Entropy = 4.035304727397563, Converged=True, damping=0.3, density N/V=3.5687657932502317
T=1.4000000000000128, Entropy = 4.118253340551342, Converged=True, damping=0.3, density N/V=3.781776692214333
T=1.3000000000000131, Entropy = 4.231864465421534, Converged=True, damping=0.3, density N/V=3.9947301658685817
T=1.2000000000000135, Entropy = 4.3842653514748005, Converged=True, damping=0.3, density N/V=4.20715486760532
T=1.1000000000000139, Entropy = 4.586908119481718, Converged=True, damping=0.3, density N/V=4.417853593986998
T=1.0000000000000142, Entropy = 4.856202802395148, Converged=True, damping=0.3, density N/V=4.6245617434177095
T=0.9000000000000146, Entropy = 5.2161501715497245, Converged=True, damping=0.3, density N/V=4.823523694035306
T=0.8000000000000149, Entropy = 5.702770306765584, Converged=True, damping=0.3, density N/V=5.009075612466535
T=0.7000000000000153, Entropy = 6.371998921912506, Converged=True, damping=0.3, density N/V=5.17351657638329
T=0.6000000000000156, Entropy = 7.314974638161476, Converged=True, damping=0.3, density N/V=5.307873933237327
T=0.500000000000016, Entropy = 8.691195946969216, Converged=True, damping=0.3, density N/V=5.404340097903633
T=0.40000000000001634, Entropy = 10.811894545583261, Converged=True, damping=0.3, density N/V=5.460406277916684
T=0.3000000000000167, Entropy = 14.39391463453543, Converged=True, damping=0.3, density N/V=5.482761739467106
T=0.20000000000001705, Entropy = 21.586404541764878, Converged=True, damping=0.3, density N/V=5.48685550555372
