T=1.0, Not Converged! Max_dm=1.9985819219387033
T=1.5, Not Converged! Max_dm=1.980442191437397
T=2.0, Entropy = 11.452302404297336, Converged=True
T=2.5, Entropy = 10.852695526526347, Converged=True
T=3.0, Entropy = 10.594865476256569, Converged=True
T=3.5, Entropy = 10.500623414270295, Converged=True
T=4.0, Entropy = 10.493643851380263, Converged=True
T=4.5, Entropy = 10.536411115558701, Converged=True
T=5.0, Entropy = 10.608655454135057, Converged=True
T=5.5, Entropy = 10.698657632501082, Converged=True
T=6.0, Entropy = 10.79929581206533, Converged=True
T=6.5, Entropy = 10.90607816825505, Converged=True
T=7.0, Entropy = 11.01609238651862, Converged=True
T=7.5, Entropy = 11.127412359828565, Converged=True
T=8.0, Entropy = 11.238747446161478, Converged=True
T=8.5, Entropy = 11.349227135152553, Converged=True
T=9.0, Entropy = 11.458264592197139, Converged=True
T=9.5, Entropy = 11.565467835086755, Converged=True
T=10.0, Entropy = 11.670580576420404, Converged=True
T=10.5, Entropy = 11.77344204159611, Converged=True
T=11.0, Entropy = 11.87395920996115, Converged=True
T=11.5, Entropy = 11.97208735684999, Converged=True
T=12.0, Entropy = 12.067816242696068, Converged=True
T=12.5, Entropy = 12.161160205425803, Converged=True
T=13.0, Entropy = 12.2521509891611, Converged=True
T=13.5, Entropy = 12.340832515351469, Converged=True
T=14.0, Entropy = 12.427257048223638, Converged=True
T=14.5, Entropy = 12.511482371035108, Converged=True
T=15.0, Entropy = 12.593569701521476, Converged=True
T=15.5, Entropy = 12.673582152060531, Converged=True
T=16.0, Entropy = 12.751583593911823, Converged=True
T=16.5, Entropy = 12.82763782290134, Converged=True
T=17.0, Entropy = 12.901807951042434, Converged=True
T=17.5, Entropy = 12.974155968128784, Converged=True
T=18.0, Entropy = 13.044742431539575, Converged=True
T=18.5, Entropy = 13.113626252911969, Converged=True
T=19.0, Entropy = 13.180864558030008, Converged=True
T=19.5, Entropy = 13.246512601996, Converged=True
