T=1.0, Entropy = 13.074466101507298
T=1.5, Entropy = 10.896312237090031
T=2.0, Entropy = 10.134279403404564
T=2.5, Entropy = 9.864583728305913
T=3.0, Entropy = 9.806033691337904
T=3.5, Entropy = 9.848472008768582
T=4.0, Entropy = 9.941984063123384
T=4.5, Entropy = 10.061813279878283
T=5.0, Entropy = 10.194885955813813
T=5.5, Entropy = 10.33396872142526
T=6.0, Entropy = 10.474919564090932
T=6.5, Entropy = 10.615311862296466
T=7.0, Entropy = 10.753709457040362
T=7.5, Entropy = 10.889267363838858
T=8.0, Entropy = 11.021503069530958
T=8.5, Entropy = 11.150160955896107
T=9.0, Entropy = 11.27512949348476
T=9.5, Entropy = 11.396389357621898
T=10.0, Entropy = 11.513980215498508
T=10.5, Entropy = 11.627979090272257
T=11.0, Entropy = 11.738486072524877
T=11.5, Entropy = 11.845614789904243
T=12.0, Entropy = 11.94948601211665
T=12.5, Entropy = 12.050223352495205
T=13.0, Entropy = 12.147950388726375
T=13.5, Entropy = 12.242788753659584
T=14.0, Entropy = 12.334856894187325
T=14.5, Entropy = 12.424269292529358
T=15.0, Entropy = 12.511136008347872
T=15.5, Entropy = 12.595562443345056
T=16.0, Entropy = 12.677649259502855
T=16.5, Entropy = 12.75749240248881
T=17.0, Entropy = 12.835183195940647
T=17.5, Entropy = 12.910808482311944
T=18.0, Entropy = 12.984450793017247
T=18.5, Entropy = 13.056188535640239
T=19.0, Entropy = 13.126096189565605
T=19.5, Entropy = 13.194244503980402
