T=1.0, Entropy = 13.042925166622494
T=1.5, Entropy = 10.733286202547525
T=2.0, Entropy = 9.761322616070085
T=2.5, Entropy = 9.244278481507235
T=3.0, Entropy = 8.927725433285671
T=3.5, Entropy = 8.715606555768426
T=4.0, Entropy = 8.564414125431137
T=4.5, Entropy = 8.451749058940354
T=5.0, Entropy = 8.364946309279961
T=5.5, Entropy = 8.296317546031792
T=6.0, Entropy = 8.24092960044014
T=6.5, Entropy = 8.195473709171495
T=7.0, Entropy = 8.157648874224412
T=7.5, Entropy = 8.12580610342339
T=8.0, Entropy = 8.098733327432289
T=8.5, Entropy = 8.075520132532152
T=9.0, Entropy = 8.055469775001805
T=9.5, Entropy = 8.038040261169494
T=10.0, Entropy = 8.022803878471167
T=10.5, Entropy = 8.009418773280217
T=11.0, Entropy = 7.997608591685906
T=11.5, Entropy = 7.987147637086541
T=12.0, Entropy = 7.977849877609746
T=12.5, Entropy = 7.969560688115474
T=13.0, Entropy = 7.962150565984061
T=13.5, Entropy = 7.955510292445001
T=14.0, Entropy = 7.949547166728829
T=14.5, Entropy = 7.944182046167354
T=15.0, Entropy = 7.939346998557295
T=15.5, Entropy = 7.934983424460488
T=16.0, Entropy = 7.931040543643635
T=16.5, Entropy = 7.92747416617112
T=17.0, Entropy = 7.924245687836815
T=17.5, Entropy = 7.921321263744635
T=18.0, Entropy = 7.918671124358556
T=18.5, Entropy = 7.916269006240387
T=19.0, Entropy = 7.914091675680793
T=19.5, Entropy = 7.912118528006653
