T=0.1, Entropy = 2703.9327954651503, Converged=True, damping=0.001
T=0.2, Entropy = 846.1168547097926, Converged=True, damping=0.001
T=0.30000000000000004, Entropy = 231.9682888268318, Converged=True, damping=0.001
T=0.4, Entropy = 302.86892150758024, Converged=True, damping=0.003
T=0.5, Entropy = 242.25557210748917, Converged=True, damping=0.001
T=0.6, Entropy = 201.88377347973716, Converged=True, damping=0.001
T=0.7000000000000001, Entropy = 173.04915413811963, Converged=True, damping=0
T=0.8, Entropy = 151.43671951161136, Converged=True, damping=0
T=0.9, Entropy = 134.64139996438382, Converged=True, damping=0
T=1.0, Entropy = 121.22326722680849, Converged=True, damping=0
T=1.1, Entropy = 110.26615065359816, Converged=True, damping=0
T=1.2000000000000002, Entropy = 101.15918650153132, Converged=True, damping=0
T=1.3000000000000003, Entropy = 93.47925630744118, Converged=True, damping=0
T=1.4000000000000001, Entropy = 86.92386042797408, Converged=True, damping=0
T=1.5000000000000002, Entropy = 81.27087918057111, Converged=True, damping=0
T=1.6, Entropy = 76.35344854256186, Converged=True, damping=0
T=1.7000000000000002, Entropy = 72.04371913421247, Converged=True, damping=0
T=1.8000000000000003, Entropy = 68.24203818549265, Converged=True, damping=0
T=1.9000000000000001, Entropy = 64.86955247348703, Converged=True, damping=0
T=2.0, Entropy = 61.863032101584594, Converged=True, damping=0
T=2.1, Entropy = 59.171173028589735, Converged=True, damping=0
T=2.2, Entropy = 56.751906740739905, Converged=True, damping=0
T=2.3000000000000003, Entropy = 54.57040994905438, Converged=True, damping=0
T=2.4000000000000004, Entropy = 52.59760987330018, Converged=True, damping=0
T=2.5000000000000004, Entropy = 50.80904628903486, Converged=True, damping=0
T=2.6, Entropy = 49.18399434344243, Converged=True, damping=0
T=2.7, Entropy = 47.704780647756884, Converged=True, damping=0
T=2.8000000000000003, Entropy = 46.35624446190659, Converged=True, damping=0
T=2.9000000000000004, Entropy = 45.12530908313674, Converged=True, damping=0
T=3.0000000000000004, Entropy = 44.000637847392774, Converged=True, damping=0
T=3.1, Entropy = 42.97235574601707, Converged=True, damping=0
T=3.2, Entropy = 42.03182239906466, Converged=True, damping=0
T=3.3000000000000003, Entropy = 41.171445574370885, Converged=True, damping=0
T=3.4000000000000004, Entropy = 40.38452697886112, Converged=True, damping=0
T=3.5000000000000004, Entropy = 39.66513393582751, Converged=True, damping=0
T=3.6, Entropy = 39.007991979476756, Converged=True, damping=0
T=3.7, Entropy = 38.40839447266184, Converged=True, damping=0
T=3.8000000000000003, Entropy = 37.86212617539462, Converged=True, damping=0
T=3.9000000000000004, Entropy = 37.36539832515428, Converged=True, damping=0
T=4.0, Entropy = 36.91479328208831, Converged=True, damping=0
T=4.1, Entropy = 36.5072171771878, Converged=True, damping=0
T=4.2, Entropy = 36.139859304722286, Converged=True, damping=0
T=4.3, Entropy = 35.8101572401665, Converged=True, damping=0
T=4.3999999999999995, Entropy = 35.51576685537047, Converged=True, damping=0
T=4.5, Entropy = 35.25453655396275, Converged=True, damping=0
T=4.6, Entropy = 35.024485169484606, Converged=True, damping=0
T=4.7, Entropy = 34.82378306217077, Converged=True, damping=0
T=4.8, Entropy = 34.65073602201282, Converged=True, damping=0
T=4.9, Entropy = 34.503771639315595, Converged=True, damping=0
T=5.0, Entropy = 34.38142784261546, Converged=True, damping=0
T=5.1, Entropy = 34.2823433307239, Converged=True, damping=0
