T=15.0, Entropy = 51.1248801063654, Converged=True, damping=0
T=14.9, Entropy = 51.157705215494424, Converged=True, damping=0
T=14.8, Entropy = 51.19117217953844, Converged=True, damping=0
T=14.700000000000001, Entropy = 51.22529690478782, Converged=True, damping=0
T=14.600000000000001, Entropy = 50.983645369897346, Converged=True, damping=0
T=14.500000000000002, Entropy = 51.295586092730474, Converged=True, damping=0
T=14.400000000000002, Entropy = 51.05219522352462, Converged=True, damping=0
T=14.300000000000002, Entropy = 51.36871168315983, Converged=True, damping=0
T=14.200000000000003, Entropy = 51.40638429552697, Converged=True, damping=0
T=14.100000000000003, Entropy = 51.1604002715161, Converged=True, damping=0
T=14.000000000000004, Entropy = 51.48404743802844, Converged=True, damping=0
T=13.900000000000004, Entropy = 51.524079465116436, Converged=True, damping=0
T=13.800000000000004, Entropy = 51.56494074874785, Converged=True, damping=0
T=13.700000000000005, Entropy = 51.60665402086487, Converged=True, damping=0
T=13.600000000000005, Entropy = 51.35640950906592, Converged=True, damping=0
T=13.500000000000005, Entropy = 51.398158612644025, Converged=True, damping=0
T=13.400000000000006, Entropy = 51.44081285765943, Converged=True, damping=0
T=13.300000000000006, Entropy = 51.782512472418276, Converged=True, damping=0
T=13.200000000000006, Entropy = 51.82885807402932, Converged=True, damping=0
T=13.100000000000007, Entropy = 51.574470461220514, Converged=True, damping=0
T=13.000000000000007, Entropy = 51.92460233159559, Converged=True, damping=0
T=12.900000000000007, Entropy = 51.97406140033581, Converged=True, damping=0
T=12.800000000000008, Entropy = 52.024620716572755, Converged=True, damping=0
T=12.700000000000008, Entropy = 52.07631359140914, Converged=True, damping=0
T=12.600000000000009, Entropy = 51.81796364678996, Converged=True, damping=0
T=12.500000000000009, Entropy = 51.870061161958155, Converged=True, damping=0
T=12.40000000000001, Entropy = 52.238547319784026, Converged=True, damping=0
T=12.30000000000001, Entropy = 52.29513553508857, Converged=True, damping=0
T=12.20000000000001, Entropy = 52.35304547053003, Converged=True, damping=0
T=12.10000000000001, Entropy = 52.09100154730699, Converged=True, damping=0
T=12.00000000000001, Entropy = 52.47300215765132, Converged=True, damping=0
T=11.900000000000011, Entropy = 52.53513932946035, Converged=True, damping=0
T=11.800000000000011, Entropy = 52.59877924894498, Converged=True, damping=0
T=11.700000000000012, Entropy = 52.33405283120185, Converged=True, damping=0
T=11.600000000000012, Entropy = 52.730770462357654, Converged=True, damping=0
T=11.500000000000012, Entropy = 52.79922893136061, Converged=True, damping=0
T=11.400000000000013, Entropy = 52.86940473435478, Converged=True, damping=0
T=11.300000000000013, Entropy = 52.941357612262095, Converged=True, damping=0
T=11.200000000000014, Entropy = 53.01515000598414, Converged=True, damping=0
T=11.100000000000014, Entropy = 53.09084720184224, Converged=True, damping=0
T=11.000000000000014, Entropy = 53.168517486107035, Converged=True, damping=0
T=10.900000000000015, Entropy = 53.248232309272524, Converged=True, damping=0
T=10.800000000000015, Entropy = 53.33006646078598, Converged=True, damping=0
T=10.700000000000015, Entropy = 53.06031205300331, Converged=True, damping=0
T=10.600000000000016, Entropy = 53.14402528794946, Converged=True, damping=0
T=10.500000000000016, Entropy = 53.58908685350988, Converged=True, damping=0
T=10.400000000000016, Entropy = 53.68021975770065, Converged=True, damping=0
T=10.300000000000017, Entropy = 53.409462733859435, Converged=True, damping=0
T=10.200000000000017, Entropy = 53.87023566597225, Converged=True, damping=0
T=10.100000000000017, Entropy = 53.599281307744356, Converged=True, damping=0
T=10.000000000000018, Entropy = 53.69835741723181, Converged=True, damping=0
T=9.900000000000018, Entropy = 54.17619813973657, Converged=True, damping=0
T=9.800000000000018, Entropy = 54.284223596771554, Converged=True, damping=0
T=9.700000000000019, Entropy = 54.01363287156388, Converged=True, damping=0
T=9.60000000000002, Entropy = 54.510084268002174, Converged=True, damping=0
T=9.50000000000002, Entropy = 54.62819353865613, Converged=True, damping=0
T=9.40000000000002, Entropy = 54.74995024712535, Converged=True, damping=0
T=9.30000000000002, Entropy = 54.87551027264324, Converged=True, damping=0
T=9.20000000000002, Entropy = 55.00503790409299, Converged=True, damping=0
