T=10.0, Entropy = 70.8732187710048, Converged=True, damping=0
T=10.1, Entropy = 70.94772566578612, Converged=True, damping=0
T=10.2, Entropy = 71.02184796037356, Converged=True, damping=0
T=10.299999999999999, Entropy = 71.09557599728765, Converged=True, damping=0
T=10.399999999999999, Entropy = 71.16890102847559, Converged=True, damping=0
T=10.499999999999998, Entropy = 71.24181515423244, Converged=True, damping=0
T=10.599999999999998, Entropy = 71.31431126631736, Converged=True, damping=0
T=10.699999999999998, Entropy = 71.38638299496587, Converged=True, damping=0
T=10.799999999999997, Entropy = 71.45802465950612, Converged=True, damping=0
T=10.899999999999997, Entropy = 71.52923122230877, Converged=True, damping=0
T=10.999999999999996, Entropy = 71.5999982458183, Converged=True, damping=0
T=11.099999999999996, Entropy = 71.67032185247342, Converged=True, damping=0
T=11.199999999999996, Entropy = 71.74019868725621, Converged=True, damping=0
T=11.299999999999995, Entropy = 71.80962588274674, Converged=True, damping=0
T=11.399999999999995, Entropy = 71.8786010264437, Converged=True, damping=0
T=11.499999999999995, Entropy = 71.94712213023226, Converged=True, damping=0
T=11.599999999999994, Entropy = 72.01518760183889, Converged=True, damping=0
T=11.699999999999994, Entropy = 72.08279621812422, Converged=True, damping=0
T=11.799999999999994, Entropy = 72.14994710010303, Converged=True, damping=0
T=11.899999999999993, Entropy = 72.21663968955922, Converged=True, damping=0
T=11.999999999999993, Entropy = 72.282873727161, Converged=True, damping=0
T=12.099999999999993, Entropy = 72.34864923196577, Converged=True, damping=0
T=12.199999999999992, Entropy = 72.41396648222086, Converged=True, damping=0
T=12.299999999999992, Entropy = 72.47882599738111, Converged=True, damping=0
T=12.399999999999991, Entropy = 72.54322852125101, Converged=True, damping=0
T=12.499999999999991, Entropy = 72.60717500619808, Converged=True, damping=0
T=12.59999999999999, Entropy = 72.67066659833719, Converged=True, damping=0
T=12.69999999999999, Entropy = 72.73370462365085, Converged=True, damping=0
T=12.79999999999999, Entropy = 72.7962905749699, Converged=True, damping=0
T=12.89999999999999, Entropy = 72.85842609975762, Converged=True, damping=0
T=12.99999999999999, Entropy = 72.92011298865725, Converged=True, damping=0
T=13.099999999999989, Entropy = 72.98135316474693, Converged=True, damping=0
T=13.199999999999989, Entropy = 73.04214867344834, Converged=True, damping=0
T=13.299999999999988, Entropy = 73.10250167307763, Converged=True, damping=0
T=13.399999999999988, Entropy = 73.16241442594965, Converged=True, damping=0
T=13.499999999999988, Entropy = 73.22188929005391, Converged=True, damping=0
T=13.599999999999987, Entropy = 73.28092871122755, Converged=True, damping=0
T=13.699999999999987, Entropy = 73.33953521581797, Converged=True, damping=0
T=13.799999999999986, Entropy = 73.39771140378933, Converged=True, damping=0
T=13.899999999999986, Entropy = 73.4554599422531, Converged=True, damping=0
T=13.999999999999986, Entropy = 73.51278355939678, Converged=True, damping=0
T=14.099999999999985, Entropy = 73.56968503879023, Converged=True, damping=0
T=14.199999999999985, Entropy = 73.62616721402948, Converged=True, damping=0
T=14.299999999999985, Entropy = 73.68223296372854, Converged=True, damping=0
T=14.399999999999984, Entropy = 73.73788520680147, Converged=True, damping=0
T=14.499999999999984, Entropy = 73.79312689804303, Converged=True, damping=0
T=14.599999999999984, Entropy = 73.84796102399093, Converged=True, damping=0
T=14.699999999999983, Entropy = 73.90239059903121, Converged=True, damping=0
T=14.799999999999983, Entropy = 73.95641866175, Converged=True, damping=0
T=14.899999999999983, Entropy = 74.01004827152087, Converged=True, damping=0
