T=0.1, Entropy = 4687.071534394955, Converged=True, damping=0.3, density N/V=1.4674117205108936
T=0.2, Entropy = 2343.5357672096025, Converged=True, damping=0.3, density N/V=1.4674117203695016
T=0.30000000000000004, Entropy = 1562.3571888131307, Converged=True, damping=0.3, density N/V=1.467411595118592
T=0.4, Entropy = 1171.7682153955272, Converged=True, damping=0.3, density N/V=1.467407825446653
T=0.5, Entropy = 937.417057813997, Converged=True, damping=0.3, density N/V=1.4673794246982756
T=0.6, Entropy = 781.1904250052645, Converged=True, damping=0.3, density N/V=1.4672727299710047
T=0.7000000000000001, Entropy = 669.6165604656852, Converged=True, damping=0.3, density N/V=1.4670014557486397
T=0.8, Entropy = 585.9649340302719, Converged=True, damping=0.3, density N/V=1.4664587930445245
T=0.9, Entropy = 520.9451821302683, Converged=True, damping=0.3, density N/V=1.4655322377252349
T=1.0, Entropy = 468.9861316756113, Converged=True, damping=0.3, density N/V=1.4641158746382021
T=1.1, Entropy = 426.5442421302522, Converged=True, damping=0.3, density N/V=1.4621185751061903
T=1.2000000000000002, Entropy = 391.257834429858, Converged=True, damping=0.3, density N/V=1.4594683820705203
T=1.3000000000000003, Entropy = 361.49178541281, Converged=True, damping=0.3, density N/V=1.4561139795363007
T=1.4000000000000001, Entropy = 336.0774942845537, Converged=True, damping=0.3, density N/V=1.4520242025134373
T=1.5000000000000002, Entropy = 314.1569981260118, Converged=True, damping=0.3, density N/V=1.4471863811042562
T=1.6, Entropy = 295.0856588219557, Converged=True, damping=0.3, density N/V=1.4416040960496823
T=1.7000000000000002, Entropy = 278.36928594425746, Converged=True, damping=0.3, density N/V=1.4352947276693573
T=1.8000000000000003, Entropy = 263.6222861151941, Converged=True, damping=0.3, density N/V=1.4282870300658306
T=1.9000000000000001, Entropy = 250.53907693895772, Converged=True, damping=0.3, density N/V=1.4206188579269272
T=2.0, Entropy = 238.8741105970383, Converged=True, damping=0.3, density N/V=1.412335105954884
T=2.1, Entropy = 228.42762775418035, Converged=True, damping=0.3, density N/V=1.4034858803118215
T=2.2, Entropy = 219.0353114143904, Converged=True, damping=0.3, density N/V=1.3941248991449966
T=2.3000000000000003, Entropy = 210.56064858735087, Converged=True, damping=0.3, density N/V=1.3843081081275586
T=2.4000000000000004, Entropy = 202.88920621930285, Converged=True, damping=0.3, density N/V=1.374092492844908
T=2.5000000000000004, Entropy = 195.9242826896534, Converged=True, damping=0.3, density N/V=1.363535069098773
T=2.6, Entropy = 189.58356260457683, Converged=True, damping=0.3, density N/V=1.3526920334852304
T=2.7, Entropy = 183.79651341944069, Converged=True, damping=0.3, density N/V=1.3416180581355357
T=2.8000000000000003, Entropy = 178.50233749487006, Converged=True, damping=0.3, density N/V=1.3303657153704267
T=2.9000000000000004, Entropy = 173.64834488289256, Converged=True, damping=0.3, density N/V=1.3189850193310184
T=3.0000000000000004, Entropy = 169.1886482639984, Converged=True, damping=0.3, density N/V=1.307523072700905
T=3.1, Entropy = 165.0831070482512, Converged=True, damping=0.3, density N/V=1.296023807719477
T=3.2, Entropy = 161.2964660158956, Converged=True, damping=0.3, density N/V=1.2845278109776133
T=3.3000000000000003, Entropy = 157.7976472026024, Converged=True, damping=0.3, density N/V=1.2730722221674362
T=3.4000000000000004, Entropy = 154.5591635171151, Converged=True, damping=0.3, density N/V=1.261690697482215
T=3.5000000000000004, Entropy = 151.5566298314996, Converged=True, damping=0.3, density N/V=1.2504134286432957
T=3.6, Entropy = 148.76835271194727, Converged=True, damping=0.3, density N/V=1.2392672091318804
T=3.7, Entropy = 146.1749840564738, Converged=True, damping=0.3, density N/V=1.2282755396869134
T=3.8000000000000003, Entropy = 143.75922702597785, Converged=True, damping=0.3, density N/V=1.2174587656355464
T=3.9000000000000004, Entropy = 141.50558504946213, Converged=True, damping=0.3, density N/V=1.206834239272339
T=4.0, Entropy = 139.40014653480634, Converged=True, damping=0.3, density N/V=1.1964165008882717
T=4.1, Entropy = 137.43039935702356, Converged=True, damping=0.3, density N/V=1.1862174730181905
T=4.2, Entropy = 135.585070324587, Converged=True, damping=0.3, density N/V=1.1762466626585006
T=4.3, Entropy = 133.85398571423397, Converged=True, damping=0.3, density N/V=1.1665113670283822
T=4.3999999999999995, Entropy = 132.22794967047332, Converged=True, damping=0.3, density N/V=1.157016879182964
T=4.5, Entropy = 130.6986378289992, Converged=True, damping=0.3, density N/V=1.1477666900072454
T=4.6, Entropy = 129.25850397486255, Converged=True, damping=0.3, density N/V=1.1387626840162237
T=4.7, Entropy = 127.90069791049025, Converged=True, damping=0.3, density N/V=1.1300053267543964
T=4.8, Entropy = 126.61899300400297, Converged=True, damping=0.3, density N/V=1.1214938422384675
T=4.9, Entropy = 125.40772212905134, Converged=True, damping=0.3, density N/V=1.1132263789295924
T=5.0, Entropy = 124.2617209047184, Converged=True, damping=0.3, density N/V=1.1052001640182771
T=5.1, Entropy = 123.17627730661663, Converged=True, damping=0.3, density N/V=1.097411644946262
T=5.2, Entropy = 122.14708685498312, Converged=True, damping=0.3, density N/V=1.0898566185420728
T=5.3, Entropy = 121.17021269775307, Converged=True, damping=0.3, density N/V=1.0825303477978843
T=5.4, Entropy = 120.24205000050934, Converged=True, damping=0.3, density N/V=1.0754276663899505
T=5.5, Entropy = 119.35929413421462, Converged=True, damping=0.3, density N/V=1.0685430719279791
T=5.6, Entropy = 118.51891221859542, Converged=True, damping=0.3, density N/V=1.0618708081546815
T=5.7, Entropy = 117.7181176358064, Converged=True, damping=0.3, density N/V=1.0554049370217302
T=5.8, Entropy = 116.95434717767806, Converged=True, damping=0.3, density N/V=1.049139401415525
T=5.9, Entropy = 116.22524053148244, Converged=True, damping=0.3, density N/V=1.0430680792555551
T=6.0, Entropy = 115.52862184505416, Converged=True, damping=0.3, density N/V=1.037184829713506
T=6.1, Entropy = 114.86248314324315, Converged=True, damping=0.3, density N/V=1.0314835325510059
T=6.2, Entropy = 114.2249693945593, Converged=True, damping=0.3, density N/V=1.025958121000488
T=6.3, Entropy = 113.61436505038449, Converged=True, damping=0.3, density N/V=1.0206026091596458
T=6.4, Entropy = 113.02908189964197, Converged=True, damping=0.3, density N/V=1.0154111144026812
T=6.5, Entropy = 112.46764809971023, Converged=True, damping=0.3, density N/V=1.0103778754545274
T=6.6, Entropy = 111.92869826015908, Converged=True, damping=0.3, density N/V=1.0054972667350786
T=6.7, Entropy = 111.41096446967235, Converged=True, damping=0.3, density N/V=1.0007638093724154
T=6.8, Entropy = 110.91326816874724, Converged=True, damping=0.3, density N/V=0.9961721794249656
T=6.9, Entropy = 110.4345127814759, Converged=True, damping=0.3, density N/V=0.991717213701653
T=7.0, Entropy = 109.97367702920326, Converged=True, damping=0.3, density N/V=0.9873939134684225
T=7.1, Entropy = 109.52980885725971, Converged=True, damping=0.3, density N/V=0.9831974465219437
T=7.2, Entropy = 109.102019913369, Converged=True, damping=0.3, density N/V=0.9791231477016703
T=7.3, Entropy = 108.68948052292018, Converged=True, damping=0.3, density N/V=0.9751665182391004
T=7.4, Entropy = 108.29141511214026, Converged=True, damping=0.3, density N/V=0.971323224099359
T=7.5, Entropy = 107.90709803533605, Converged=True, damping=0.3, density N/V=0.9675890935248908
T=7.6, Entropy = 107.53584976703445, Converged=True, damping=0.3, density N/V=0.9639601139386627
T=7.7, Entropy = 107.17703342388488, Converged=True, damping=0.3, density N/V=0.9604324282423712
T=7.8, Entropy = 106.83005158485987, Converged=True, damping=0.3, density N/V=0.9570023308712525
T=7.9, Entropy = 106.4943433815095, Converged=True, damping=0.3, density N/V=0.9536662632954219
T=8.0, Entropy = 106.16938183292271, Converged=True, damping=0.3, density N/V=0.9504208097374781
T=8.1, Entropy = 105.85467140260513, Converged=True, damping=0.3, density N/V=0.9472626922137188
T=8.2, Entropy = 105.54974575680532, Converged=True, damping=0.3, density N/V=0.94418876587854
T=8.3, Entropy = 105.25416570583904, Converged=True, damping=0.3, density N/V=0.941196014233955
T=8.4, Entropy = 104.96751731180811, Converged=True, damping=0.3, density N/V=0.9382815442353273
T=8.5, Entropy = 104.68941014776432, Converged=True, damping=0.3, density N/V=0.9354425816230951
T=8.6, Entropy = 104.41947569479281, Converged=True, damping=0.3, density N/V=0.9326764661351586
T=8.7, Entropy = 104.15736586482969, Converged=True, damping=0.3, density N/V=0.9299806469585294
T=8.8, Entropy = 103.90275163821683, Converged=True, damping=0.3, density N/V=0.9273526781824676
T=8.9, Entropy = 103.65532180600827, Converged=True, damping=0.3, density N/V=0.9247902144430402
T=9.0, Entropy = 103.41478180802005, Converged=True, damping=0.3, density N/V=0.9222910066353656
T=9.1, Entropy = 103.18085265846788, Converged=True, damping=0.3, density N/V=0.9198528978112483
T=9.2, Entropy = 102.95326995177084, Converged=True, damping=0.3, density N/V=0.917473819197069
T=9.3, Entropy = 102.73178294181287, Converged=True, damping=0.3, density N/V=0.9151517863363153
T=9.4, Entropy = 102.51615368857428, Converged=True, damping=0.3, density N/V=0.9128848954067427
T=9.5, Entropy = 102.30615626656643, Converged=True, damping=0.3, density N/V=0.9106713196846918
T=9.6, Entropy = 102.1015760300473, Converged=True, damping=0.3, density N/V=0.9085093061071378
T=9.700000000000001, Entropy = 101.90220893042682, Converged=True, damping=0.3, density N/V=0.9063971720179546
T=9.8, Entropy = 101.70786088167566, Converged=True, damping=0.3, density N/V=0.9043333020524312
T=9.9, Entropy = 101.51834716993162, Converged=True, damping=0.3, density N/V=0.90231614513957
