T=3.0, Entropy = 376.2604366739011, Converged=True, damping=0.3
T=3.1, Entropy = 369.3452705230684, Converged=True, damping=0.3
T=3.2, Entropy = 363.10960552448825, Converged=True, damping=0.3
T=3.3000000000000003, Entropy = 357.4620695469433, Converged=True, damping=0.3
T=3.4000000000000004, Entropy = 352.3263429119278, Converged=True, damping=0.3
T=3.5000000000000004, Entropy = 347.6382929247614, Converged=True, damping=0.3
T=3.6000000000000005, Entropy = 343.34371697073635, Converged=True, damping=0.3
T=3.7000000000000006, Entropy = 339.396553267934, Converged=True, damping=0.3
T=3.8000000000000007, Entropy = 335.7574533862703, Converged=True, damping=0.3
T=3.900000000000001, Entropy = 332.3926364218461, Converged=True, damping=0.3
T=4.000000000000001, Entropy = 329.27296382166446, Converged=True, damping=0.3
T=4.100000000000001, Entropy = 326.37318811240567, Converged=True, damping=0.3
T=4.200000000000001, Entropy = 323.67133949108586, Converged=True, damping=0.3
T=4.300000000000001, Entropy = 321.14822232518134, Converged=True, damping=0.3
T=4.400000000000001, Entropy = 318.7869997579621, Converged=True, damping=0.3
T=4.500000000000002, Entropy = 316.5728493156781, Converged=True, damping=0.3
T=4.600000000000001, Entropy = 314.4926760275768, Converged=True, damping=0.3
T=4.700000000000001, Entropy = 312.53487236404516, Converged=True, damping=0.3
T=4.800000000000002, Entropy = 310.6891164702597, Converged=True, damping=0.3
T=4.900000000000002, Entropy = 308.94620186963255, Converged=True, damping=0.3
T=5.000000000000002, Entropy = 307.29789314411045, Converged=True, damping=0.3
T=5.100000000000001, Entropy = 305.73680315035523, Converged=True, damping=0.3
T=5.200000000000002, Entropy = 304.2562881644242, Converged=True, damping=0.3
T=5.3000000000000025, Entropy = 302.85035801295066, Converged=True, damping=0.3
T=5.400000000000002, Entropy = 301.51359877964296, Converged=True, damping=0.3
T=5.500000000000002, Entropy = 300.2411061045151, Converged=True, damping=0.3
T=5.600000000000002, Entropy = 299.02842743782276, Converged=True, damping=0.3
T=5.700000000000003, Entropy = 297.8715118906756, Converged=True, damping=0.3
T=5.8000000000000025, Entropy = 296.7666665527226, Converged=True, damping=0.3
T=5.900000000000002, Entropy = 295.71051833215216, Converged=True, damping=0.3
T=6.000000000000003, Entropy = 294.69998052784183, Converged=True, damping=0.3
T=6.100000000000003, Entropy = 293.73222346757757, Converged=True, damping=0.3
T=6.200000000000003, Entropy = 292.80464865124685, Converged=True, damping=0.3
T=6.3000000000000025, Entropy = 291.9148659236429, Converged=True, damping=0.3
T=6.400000000000003, Entropy = 291.06067327349643, Converged=True, damping=0.3
T=6.5000000000000036, Entropy = 290.24003891483386, Converged=True, damping=0.3
T=6.600000000000003, Entropy = 289.451085357414, Converged=True, damping=0.3
T=6.700000000000003, Entropy = 288.6920752146611, Converged=True, damping=0.3
T=6.800000000000003, Entropy = 287.96139853314725, Converged=True, damping=0.3
T=6.900000000000004, Entropy = 287.2575614578805, Converged=True, damping=0.3
T=7.0000000000000036, Entropy = 286.57917607248083, Converged=True, damping=0.3
T=7.100000000000003, Entropy = 285.92495127586534, Converged=True, damping=0.3
T=7.200000000000004, Entropy = 285.29368457423817, Converged=True, damping=0.3
T=7.300000000000004, Entropy = 284.68425468410385, Converged=True, damping=0.3
T=7.400000000000004, Entropy = 284.0956148545403, Converged=True, damping=0.3
