T=0.5, Entropy = 1720.9359591796128, Converged=True, damping=0.006
T=1.0, Entropy = 1240.1674278373791, Converged=True, damping=0.002
T=1.5, Entropy = 658.5131642964843, Converged=True, damping=0.002
T=2.0, Entropy = 540.8864304990976, Converged=True, damping=0.002
T=2.5, Entropy = 507.2378989090074, Converged=True, damping=0.002
T=3.0, Entropy = 432.07585105810085, Converged=True, damping=0.002
T=3.5, Entropy = 375.63987191417243, Converged=True, damping=0.002
T=4.0, Entropy = 369.45927521252094, Converged=True, damping=0.002
T=4.5, Entropy = 365.35515420315716, Converged=True, damping=0.002
T=5.0, Entropy = 362.50405696004486, Converged=True, damping=0.002
T=5.5, Entropy = 360.45268311347024, Converged=True, damping=0.002
T=6.0, Entropy = 358.934761503053, Converged=True, damping=0.002
T=6.5, Entropy = 357.78559047103016, Converged=True, damping=0.002
T=7.0, Entropy = 356.8989222195024, Converged=True, damping=0.002
T=7.5, Entropy = 356.20378625115563, Converged=True, damping=0.002
T=8.0, Entropy = 355.6513613329769, Converged=True, damping=0.002
T=8.5, Entropy = 355.207208871385, Converged=True, damping=0.002
T=9.0, Entropy = 354.84650218424093, Converged=True, damping=0.002
T=9.5, Entropy = 354.5509995388917, Converged=True, damping=0.002
T=10.0, Entropy = 354.30707259441965, Converged=True, damping=0.002
T=10.5, Entropy = 354.1043863733463, Converged=True, damping=0.002
T=11.0, Entropy = 353.9349986372037, Converged=True, damping=0.002
T=11.5, Entropy = 353.7927325167504, Converged=True, damping=0.002
T=12.0, Entropy = 353.6727318113796, Converged=True, damping=0.002
T=12.5, Entropy = 353.57114115741103, Converged=True, damping=0.002
T=13.0, Entropy = 353.4848720267101, Converged=True, damping=0.002
T=13.5, Entropy = 353.41142981447075, Converged=True, damping=0.002
T=14.0, Entropy = 353.34878447777857, Converged=True, damping=0.002
T=14.5, Entropy = 353.29527248926814, Converged=True, damping=0.002
T=15.0, Entropy = 353.24952187288847, Converged=True, damping=0.002
T=15.5, Entropy = 353.21039436458227, Converged=True, damping=0.002
T=16.0, Entropy = 353.1769403728033, Converged=True, damping=0.002
T=16.5, Entropy = 353.1483636235123, Converged=True, damping=0.002
T=17.0, Entropy = 353.12399319964896, Converged=True, damping=0.002
T=17.5, Entropy = 353.1032612720841, Converged=True, damping=0.002
T=18.0, Entropy = 353.0856852445898, Converged=True, damping=0.002
T=18.5, Entropy = 353.07085334934885, Converged=True, damping=0.002
T=19.0, Entropy = 353.05841295823683, Converged=True, damping=0.002
T=19.5, Entropy = 353.0480610451194, Converged=True, damping=0.002
