T=0.5, Entropy = 237.76373515276816, Converged=True, Max dm = 5.215227150525206e-09, damping=0.4, BP density N/V=0.719005972105166, chemical potential=0
T=0.6, Entropy = 198.35339260777593, Converged=True, Max dm = 8.607411899549944e-09, damping=0.4, BP density N/V=0.7169546581370446, chemical potential=0
T=0.7, Entropy = 170.42528635917455, Converged=True, Max dm = 8.853370602607269e-09, damping=0.4, BP density N/V=0.7131491795970325, chemical potential=0
T=0.7999999999999999, Entropy = 149.75498914770722, Converged=True, Max dm = 9.25169829982253e-09, damping=0.4, BP density N/V=0.7073055503733027, chemical potential=0
T=0.8999999999999999, Entropy = 133.98248403275875, Converged=True, Max dm = 5.910850926771349e-09, damping=0.4, BP density N/V=0.6993703349349731, chemical potential=0
T=0.9999999999999999, Entropy = 121.67564129193917, Converged=True, Max dm = 7.757759587501134e-09, damping=0.4, BP density N/V=0.689483288756803, chemical potential=0
T=1.0999999999999999, Entropy = 111.90805903083184, Converged=True, Max dm = 6.877767792790035e-09, damping=0.4, BP density N/V=0.6779221243828638, chemical potential=0
T=1.1999999999999997, Entropy = 104.05006653246457, Converged=True, Max dm = 8.454084807207884e-09, damping=0.4, BP density N/V=0.6650392520052377, chemical potential=0
T=1.2999999999999998, Entropy = 97.65726618160714, Converged=True, Max dm = 9.743262988082257e-09, damping=0.4, BP density N/V=0.6512008453763098, chemical potential=0
T=1.4, Entropy = 92.4071636735288, Converged=True, Max dm = 7.70958548390599e-09, damping=0.4, BP density N/V=0.6367394381434991, chemical potential=0
T=1.4999999999999998, Entropy = 88.06093993957346, Converged=True, Max dm = 7.281464209363264e-09, damping=0.4, BP density N/V=0.6219264986572801, chemical potential=0
T=1.5999999999999996, Entropy = 84.43908334605949, Converged=True, Max dm = 9.785604604406473e-09, damping=0.4, BP density N/V=0.6069640841823761, chemical potential=0
T=1.6999999999999997, Entropy = 81.40509777278383, Converged=True, Max dm = 8.42483455221199e-09, damping=0.4, BP density N/V=0.5919897491269783, chemical potential=0
T=1.7999999999999998, Entropy = 78.8541976514872, Converged=True, Max dm = 9.763579389421295e-09, damping=0.4, BP density N/V=0.5770879950205099, chemical potential=0
T=1.8999999999999997, Entropy = 76.70525386195467, Converged=True, Max dm = 8.698836428955303e-09, damping=0.4, BP density N/V=0.5623032562786568, chemical potential=0
T=1.9999999999999996, Entropy = 74.89495246709251, Converged=True, Max dm = 8.497593295686556e-09, damping=0.4, BP density N/V=0.5476516227788412, chemical potential=0
T=2.0999999999999996, Entropy = 73.37350608182544, Converged=True, Max dm = 9.030105552199075e-09, damping=0.4, BP density N/V=0.533130259118054, chemical potential=0
T=2.1999999999999997, Entropy = 72.10147627643653, Converged=True, Max dm = 9.333350148299502e-09, damping=0.4, BP density N/V=0.5187244245398586, chemical potential=0
T=2.3, Entropy = 71.04740117257543, Converged=True, Max dm = 9.227378472420611e-09, damping=0.4, BP density N/V=0.5044124470090118, chemical potential=0
T=2.3999999999999995, Entropy = 70.18601176906317, Converged=True, Max dm = 9.682676493927289e-09, damping=0.4, BP density N/V=0.4901691070996864, chemical potential=0
T=2.4999999999999996, Entropy = 69.49688176669916, Converged=True, Max dm = 9.825809554886433e-09, damping=0.4, BP density N/V=0.47596786340925235, chemical potential=0
T=2.5999999999999996, Entropy = 68.96339862280807, Converged=True, Max dm = 9.834748904147261e-09, damping=0.4, BP density N/V=0.46178225229428654, chemical potential=0
T=2.6999999999999993, Entropy = 68.57197412061693, Converged=True, Max dm = 9.72758379402805e-09, damping=0.4, BP density N/V=0.4475867300414755, chemical potential=0
T=2.7999999999999994, Entropy = 68.31143464495675, Converged=True, Max dm = 9.667471545515838e-09, damping=0.4, BP density N/V=0.4333571376851508, chemical potential=0
T=2.8999999999999995, Entropy = 68.17254714981455, Converged=True, Max dm = 9.751460861018302e-09, damping=0.4, BP density N/V=0.41907092010247643, chemical potential=0
T=2.9999999999999996, Entropy = 68.14764824459257, Converged=True, Max dm = 9.938683598331721e-09, damping=0.4, BP density N/V=0.40470718545751994, chemical potential=0
T=3.0999999999999996, Entropy = 68.23033537697634, Converged=False, Max dm = 9.855492742238958e-06, damping=0.4, BP density N/V=0.3905603216615964, chemical potential=0
T=3.1999999999999993, Entropy = 68.37062645439855, Converged=True, Max dm = 9.958673385934702e-09, damping=0.4, BP density N/V=0.39204296166391794, chemical potential=0
T=3.2999999999999994, Entropy = 68.52056821361037, Converged=True, Max dm = 9.992312255402425e-09, damping=0.4, BP density N/V=0.39394230090080073, chemical potential=0
T=3.3999999999999995, Entropy = 68.67876861559641, Converged=True, Max dm = 9.80481157375479e-09, damping=0.4, BP density N/V=0.39588724009521475, chemical potential=0
T=3.499999999999999, Entropy = 68.844002871552, Converged=True, Max dm = 9.759839714185148e-09, damping=0.4, BP density N/V=0.3978700805909023, chemical potential=0
T=3.599999999999999, Entropy = 69.01520295367766, Converged=True, Max dm = 9.902033248909703e-09, damping=0.4, BP density N/V=0.3998840606615604, chemical potential=0
T=3.6999999999999993, Entropy = 69.19143523848376, Converged=True, Max dm = 9.77750092001628e-09, damping=0.4, BP density N/V=0.4019232304462491, chemical potential=0
T=3.7999999999999994, Entropy = 69.37188179614056, Converged=True, Max dm = 9.892561603219718e-09, damping=0.4, BP density N/V=0.40398234595606425, chemical potential=0
T=3.8999999999999995, Entropy = 69.5558246512888, Converged=True, Max dm = 9.963781910649061e-09, damping=0.4, BP density N/V=0.40605677885616587, chemical potential=0
T=3.999999999999999, Entropy = 69.74263248031978, Converged=True, Max dm = 9.643630172195827e-09, damping=0.4, BP density N/V=0.40814243936296374, chemical potential=0
T=4.1, Entropy = 69.93174931795272, Converged=True, Max dm = 9.40771494040149e-09, damping=0.4, BP density N/V=0.4102357100969992, chemical potential=0
T=4.199999999999999, Entropy = 70.12268492965704, Converged=True, Max dm = 9.743192808109313e-09, damping=0.4, BP density N/V=0.4123333891290247, chemical potential=0
T=4.299999999999999, Entropy = 70.31500657218355, Converged=True, Max dm = 9.714580528896732e-09, damping=0.4, BP density N/V=0.4144326407734396, chemical potential=0
T=4.399999999999999, Entropy = 70.50833191618783, Converged=True, Max dm = 9.920045174194314e-09, damping=0.4, BP density N/V=0.4165309529372048, chemical potential=0
T=4.499999999999999, Entropy = 70.70232294609428, Converged=True, Max dm = 9.0270318997554e-09, damping=0.4, BP density N/V=0.41862610003717443, chemical potential=0
T=4.599999999999999, Entropy = 70.89668068518516, Converged=True, Max dm = 9.553223045966064e-09, damping=0.4, BP density N/V=0.4207161106648353, chemical potential=0
T=4.699999999999999, Entropy = 71.09114062030439, Converged=True, Max dm = 9.59046658755014e-09, damping=0.4, BP density N/V=0.42279923931266855, chemical potential=0
