T=0.5, Entropy = 873.0865378911437, Converged=False, Max dm = 1.8655191601794519, damping=0.4, BP density N/V=1.942569524803654, chemical potential=0
T=0.6, Entropy = -1.665483276019342, Converged=False, Max dm = 0.23391998098522837, damping=0.4, BP density N/V=1.934548897351943, chemical potential=0
T=0.7, Entropy = 458.83029395626215, Converged=False, Max dm = 1.335158599615514, damping=0.4, BP density N/V=0.309980282792487, chemical potential=0
T=0.7999999999999999, Entropy = 144.60279556263697, Converged=False, Max dm = 0.09989981185823532, damping=0.4, BP density N/V=1.9708767812889119, chemical potential=0
T=0.8999999999999999, Entropy = 656.0077788169763, Converged=False, Max dm = 1.0422295963887045, damping=0.4, BP density N/V=1.2420456248306664, chemical potential=0
T=0.9999999999999999, Entropy = 513.131381957262, Converged=False, Max dm = 0.7103577121553291, damping=0.4, BP density N/V=2.01405241542958, chemical potential=0
T=1.0999999999999999, Entropy = 91.9805964465347, Converged=False, Max dm = 0.254492931348106, damping=0.4, BP density N/V=1.749634421572997, chemical potential=0
T=1.1999999999999997, Entropy = 281.6872130584767, Converged=False, Max dm = 0.3962882273928383, damping=0.4, BP density N/V=1.8658038243114412, chemical potential=0
T=1.2999999999999998, Entropy = 407.401882221168, Converged=False, Max dm = 0.8280564281777436, damping=0.4, BP density N/V=1.5017462633073109, chemical potential=0
T=1.4, Entropy = 291.7352381983822, Converged=False, Max dm = 0.39316162754404876, damping=0.4, BP density N/V=0.7648573972606172, chemical potential=0
T=1.4999999999999998, Entropy = 198.52702342808897, Converged=False, Max dm = 0.19380954091084007, damping=0.4, BP density N/V=1.3243300267900064, chemical potential=0
T=1.5999999999999996, Entropy = 220.5747681464029, Converged=False, Max dm = 0.20962010915306994, damping=0.4, BP density N/V=1.2584570057038578, chemical potential=0
T=1.6999999999999997, Entropy = 233.38535455378766, Converged=False, Max dm = 0.22941014239514845, damping=0.4, BP density N/V=1.125257987895597, chemical potential=0
T=1.7999999999999998, Entropy = 213.59495779708828, Converged=True, Max dm = 8.200177981088075e-09, damping=0.4, BP density N/V=1.0526658333419932, chemical potential=0
T=1.8999999999999997, Entropy = 205.94900481137, Converged=True, Max dm = 9.808026613100651e-09, damping=0.4, BP density N/V=1.0241099802094924, chemical potential=0
T=1.9999999999999996, Entropy = 199.4572054403106, Converged=True, Max dm = 8.411239982297758e-09, damping=0.4, BP density N/V=0.9986705507928275, chemical potential=0
T=2.0999999999999996, Entropy = 193.8901526115284, Converged=True, Max dm = 8.429204778614974e-09, damping=0.4, BP density N/V=0.9759453337884609, chemical potential=0
T=2.1999999999999997, Entropy = 189.0727149055625, Converged=True, Max dm = 7.429100390421439e-09, damping=0.4, BP density N/V=0.9555816520616359, chemical potential=0
T=2.3, Entropy = 184.86953011011644, Converged=True, Max dm = 9.150224855591915e-09, damping=0.4, BP density N/V=0.9372735496441044, chemical potential=0
T=2.3999999999999995, Entropy = 181.17474338788733, Converged=True, Max dm = 9.068855166827205e-09, damping=0.4, BP density N/V=0.9207573404379822, chemical potential=0
T=2.4999999999999996, Entropy = 177.90465810163113, Converged=True, Max dm = 9.40507383084821e-09, damping=0.4, BP density N/V=0.9058065930041027, chemical potential=0
T=2.5999999999999996, Entropy = 174.9924092598394, Converged=True, Max dm = 8.518768579435232e-09, damping=0.4, BP density N/V=0.8922271647658149, chemical potential=0
T=2.6999999999999993, Entropy = 172.38405797825752, Converged=True, Max dm = 8.092609415921714e-09, damping=0.4, BP density N/V=0.8798526017389053, chemical potential=0
T=2.7999999999999994, Entropy = 170.03569572891737, Converged=True, Max dm = 9.929016941967461e-09, damping=0.4, BP density N/V=0.8685400394213993, chemical potential=0
T=2.8999999999999995, Entropy = 167.91127416532493, Converged=True, Max dm = 8.899237957660233e-09, damping=0.4, BP density N/V=0.8581666372672414, chemical potential=0
T=2.9999999999999996, Entropy = 165.9809619565118, Converged=True, Max dm = 9.41895417216898e-09, damping=0.4, BP density N/V=0.8486265244046934, chemical potential=0
T=3.0999999999999996, Entropy = 164.21988841579739, Converged=True, Max dm = 8.135565110478638e-09, damping=0.4, BP density N/V=0.8398282085091371, chemical potential=0
T=3.1999999999999993, Entropy = 162.60717388120045, Converged=True, Max dm = 9.209377760388548e-09, damping=0.4, BP density N/V=0.8316923905739766, chemical potential=0
T=3.2999999999999994, Entropy = 161.1251747416262, Converged=True, Max dm = 8.895162051381078e-09, damping=0.4, BP density N/V=0.8241501281101283, chemical potential=0
