T=0.7, Entropy = 123.70711413774849, Converged=True, Max dm = 6.22562524969783e-09, damping=0.4, BP density N/V=0.7562954013339548, chemical potential=0
T=0.7999999999999999, Entropy = 108.61379367155737, Converged=True, Max dm = 9.98521303488542e-09, damping=0.4, BP density N/V=0.7510851849895134, chemical potential=0
T=0.8999999999999999, Entropy = 97.06400543420554, Converged=True, Max dm = 9.020943964044292e-09, damping=0.4, BP density N/V=0.7438464184184403, chemical potential=0
T=0.9999999999999999, Entropy = 88.02226359309444, Converged=True, Max dm = 8.803343123919838e-09, damping=0.4, BP density N/V=0.734647633129549, chemical potential=0
T=1.0999999999999999, Entropy = 80.82032484361429, Converged=True, Max dm = 9.543952204926764e-09, damping=0.4, BP density N/V=0.7237011541220966, chemical potential=0
T=1.1999999999999997, Entropy = 75.00468637469233, Converged=True, Max dm = 9.159261918356698e-09, damping=0.4, BP density N/V=0.7113127398371533, chemical potential=0
T=1.2999999999999998, Entropy = 70.25524036236504, Converged=True, Max dm = 6.927882226226423e-09, damping=0.4, BP density N/V=0.6978289133423992, chemical potential=0
T=1.4, Entropy = 66.33914118659972, Converged=True, Max dm = 7.935608947740036e-09, damping=0.4, BP density N/V=0.6835901586645756, chemical potential=0
T=1.4999999999999998, Entropy = 63.08316420379429, Converged=True, Max dm = 6.83241570265114e-09, damping=0.4, BP density N/V=0.6688971667323628, chemical potential=0
T=1.5999999999999996, Entropy = 60.35626812467093, Converged=True, Max dm = 9.605693435110751e-09, damping=0.4, BP density N/V=0.6539929333980715, chemical potential=0
T=1.6999999999999997, Entropy = 58.05806095483185, Converged=True, Max dm = 9.321068417111888e-09, damping=0.4, BP density N/V=0.6390587383436873, chemical potential=0
T=1.7999999999999996, Entropy = 56.11085623330051, Converged=True, Max dm = 8.470692258732981e-09, damping=0.4, BP density N/V=0.6242193717021418, chemical potential=0
T=1.8999999999999997, Entropy = 54.454026970003554, Converged=True, Max dm = 7.990811345948146e-09, damping=0.4, BP density N/V=0.6095528736885687, chemical potential=0
T=1.9999999999999998, Entropy = 53.03990023301913, Converged=True, Max dm = 7.947520364037786e-09, damping=0.4, BP density N/V=0.5951012980868797, chemical potential=0
