T=4.3999999999999995,M=-0.2077999980679273,M_messages=-0.2371593066421543

T=4.1,M=-0.22562725670660097,M_messages=-0.25679738023213416

T=4.0,M=-0.23223634585147,M_messages=-0.26405198131404617

T=4.5,M=-0.20244571690859314,M_messages=-0.2312410817747778

T=4.6,M=-0.19735139524911297,M_messages=-0.22560148445421588

T=3.3000000000000003,M=-0.2911057550379334,M_messages=-0.328074597436284

T=4.7,M=-0.19249922558526084,M_messages=-0.22022200772960707

T=3.9000000000000004,M=-0.23922403708368412,M_messages=-0.27170716892688723

T=3.5000000000000004,M=-0.27163883637072217,M_messages=-0.30702033911583093

T=3.6,M=-0.26278884619323045,M_messages=-0.29741099637282076

T=3.1,M=-0.313301051666016,M_messages=-0.3519427635319224

T=4.3,M=-0.21343374038566926,M_messages=-0.24337636250735034

T=4.8,M=-0.18787292431623037,M_messages=-0.21508567736481285

T=3.7,M=-0.2544638779116713,M_messages=-0.28834992748476196

T=4.9,M=-0.18345758016380065,M_messages=-0.21017690506098063

T=3.4000000000000004,M=-0.28106057659664335,M_messages=-0.31722448988723495

T=4.2,M=-0.21936833089592225,M_messages=-0.2499143319702969

T=3.2,M=-0.30183152948997743,M_messages=-0.339626829496052

T=3.8000000000000003,M=-0.2466216814006428,M_messages=-0.2797948136365059

T=3.0000000000000004,M=-0.32558398419187934,M_messages=-0.3650897345099486

T=2.8000000000000003,M=-0.35290403656044517,M_messages=-0.3941763262178762

T=2.9000000000000004,M=-0.33875697519190034,M_messages=-0.37914109550485553

T=2.5000000000000004,M=-0.4021422392681406,M_messages=-0.4460662386744176

T=2.3000000000000003,M=-0.4417006064142616,M_messages=-0.487265201737967

T=2.4000000000000004,M=-0.4211726728238333,M_messages=-0.4659402446053709

T=2.6,M=-0.3844941541037375,M_messages=-0.4275457502676548

T=1.9000000000000001,M=-0.5409567428575796,M_messages=-0.5886985711052345

T=1.7000000000000002,M=-0.6018605888839005,M_messages=-0.6494978801671112

T=2.7,M=-0.3681167456604432,M_messages=-0.4102808960424475

T=1.8000000000000003,M=-0.5704549864694625,M_messages=-0.6182896143372069

T=1.3000000000000003,M=-0.7432137852661093,M_messages=-0.7856663731434467

T=1.2000000000000002,M=-0.7806646922557823,M_messages=-0.8203366611055886

T=1.6,M=-0.6350815889650386,M_messages=-0.6821608894144937

T=1.5000000000000002,M=-0.6699329388527181,M_messages=-0.7160159062519659

T=2.0,M=-0.5133847090809881,M_messages=-0.5608052131471927

T=2.1,M=-0.4877036848443915,M_messages=-0.5346266261171815

T=2.2,M=-0.4638410928370295,M_messages=-0.5101336127965921

T=1.4000000000000001,M=-0.7061179129208541,M_messages=-0.7506849365519958

T=0.1,M=-0.9999999969621529,M_messages=-0.9999999985549259

T=0.9,M=-0.8877172686407697,M_messages=-0.9148206854096103

T=0.2,M=-0.9999570435895172,M_messages=-0.9999772047459236

T=0.6,M=-0.9677380092773683,M_messages=-0.9782701394034599

T=0.4,M=-0.9943026236803569,M_messages=-0.9965490371551026

T=0.8,M=-0.9186752777183189,M_messages=-0.9403853746284397

T=0.7000000000000001,M=-0.9456637419185505,M_messages=-0.9617139287321822

T=1.0,M=-0.8537674751073948,M_messages=-0.8857407542481186

T=0.5,M=-0.9840887275772483,M_messages=-0.9898111723573879

T=0.30000000000000004,M=-0.9989155406654385,M_messages=-0.9993820268967177

T=1.1,M=-0.817784001011206,M_messages=-0.8539647011565039

