T=0.1, Entropy = 378.3785093059373
T=0.2, Entropy = 189.18925764327858
T=0.30000000000000004, Entropy = 126.12639898181989
T=0.4, Entropy = 94.59692617899066
T=0.5, Entropy = 75.68590537418031
T=0.6, Entropy = 63.0926239410751
T=0.7000000000000001, Entropy = 54.12013573388845
T=0.8, Entropy = 47.42209108787764
T=0.9, Entropy = 42.251745178924615
T=1.0, Entropy = 38.16180756512051
T=1.1, Entropy = 34.86827985218259
T=1.2000000000000002, Entropy = 32.1826274887345
T=1.3000000000000003, Entropy = 29.97538902206062
T=1.4000000000000001, Entropy = 28.15517727589264
T=1.5000000000000002, Entropy = 26.655358100579484
T=1.6, Entropy = 25.42467597936698
T=1.7000000000000002, Entropy = 24.42054747010697
T=1.8000000000000003, Entropy = 23.605088566704985
T=1.9000000000000001, Entropy = 22.94384493461204
