T=1.0, Entropy = 690.2862165198343
T=1.5, Entropy = 460.1908682575525
T=2.0, Entropy = 345.14421823023116
T=2.5, Entropy = 276.12108031477635
T=3.0, Entropy = 230.1171628672298
T=3.5, Entropy = 197.27603212148696
T=4.0, Entropy = 172.67016005337393
T=4.5, Entropy = 153.56159377734036
T=5.0, Entropy = 138.3066402873661
T=5.5, Entropy = 125.8582730743158
T=6.0, Entropy = 115.51749562246052
T=6.5, Entropy = 106.7995484032219
T=7.0, Entropy = 99.35749985602858
T=7.5, Entropy = 92.93641748399463
T=8.0, Entropy = 87.34472458526298
T=8.5, Entropy = 82.43565718538832
T=9.0, Entropy = 78.09488911326486
T=9.5, Entropy = 74.23205166797155
T=10.0, Entropy = 70.77478546059234
T=10.5, Entropy = 67.66448186893258
T=11.0, Entropy = 64.85317820174612
T=11.5, Entropy = 62.30125702761463
T=12.0, Entropy = 59.975716452410026
T=12.5, Entropy = 57.84885253113832
T=13.0, Entropy = 55.89724365023798
T=13.5, Entropy = 54.10095917536473
T=14.0, Entropy = 52.44293671715979
T=14.5, Entropy = 50.90848760961148
T=15.0, Entropy = 49.48490089037466
T=15.5, Entropy = 48.16112368210428
T=16.0, Entropy = 46.92750135829607
T=16.5, Entropy = 45.77556487677864
T=17.0, Entropy = 44.69785561280546
T=17.5, Entropy = 43.68778021982598
T=18.0, Entropy = 42.739489697040895
T=18.5, Entropy = 41.84777809501133
T=19.0, Entropy = 41.00799724809272
T=19.5, Entropy = 40.21598466032191
