T=16.0,M=-0.09982213307812911,M_messages=-0.09854325848953825

T=19.0,M=-0.08345603909597189,M_messages=-0.082405924142493

T=18.0,M=-0.0882835400019525,M_messages=-0.08716684392134043

T=1.0,M=-0.9543381657399819,M_messages=-0.9214359792259167

T=17.0,M=-0.09370077440092438,M_messages=-0.09250847839166802

T=15.0,M=-0.10679340326302941,M_messages=-0.10541440329665136

T=13.0,M=-0.12409992422768906,M_messages=-0.12246506277762016

T=14.0,M=-0.11480322890074941,M_messages=-0.11330712697714308

T=11.0,M=-0.14801103769229,M_messages=-0.146004598058247

T=7.0,M=-0.23917350942127485,M_messages=-0.23553328961305078

T=9.0,M=-0.18309594883756636,M_messages=-0.18050336623589713

T=12.0,M=-0.13501675741557542,M_messages=-0.1332149286029378

T=10.0,M=-0.16372644698065675,M_messages=-0.1614636922033512

T=8.0,M=-0.20751831754864672,M_messages=-0.20448692549455136

T=2.0,M=-0.750495176273156,M_messages=-0.729640788767839

T=5.0,M=-0.3408463694849297,M_messages=-0.33491909584016066

T=6.0,M=-0.28160818754703754,M_messages=-0.2770768630732056

T=4.0,M=-0.42739088279818394,M_messages=-0.41908860221843497

T=3.0,M=-0.5585000110936235,M_messages=-0.5458142498173781

