T=0.1, Entropy = 512.9622820898937
T=0.2, Entropy = 256.48114589717426
T=0.30000000000000004, Entropy = 170.98800726113436
T=0.4, Entropy = 128.24705314467457
T=0.5, Entropy = 102.62071434441528
T=0.6, Entropy = 85.57061264046494
T=0.7000000000000001, Entropy = 73.43987483369591
T=0.8, Entropy = 64.39913839240552
T=0.9, Entropy = 57.429848981354354
T=1.0, Entropy = 51.91846905875385
T=1.1, Entropy = 47.47245399207185
T=1.2000000000000002, Entropy = 43.82839808145645
T=1.3000000000000003, Entropy = 40.80261280160054
T=1.4000000000000001, Entropy = 38.26287969123723
T=1.5000000000000002, Entropy = 36.11148296472929
T=1.6, Entropy = 34.27458368188452
T=1.7000000000000002, Entropy = 32.69532419588704
T=1.8000000000000003, Entropy = 31.329213134909093
T=1.9000000000000001, Entropy = 30.14095196017023
T=2.0, Entropy = 29.102199917367514
T=2.1, Entropy = 28.189965991292674
T=2.2, Entropy = 27.385429739833413
T=2.3000000000000003, Entropy = 26.673061771801045
T=2.4000000000000004, Entropy = 26.03995764588792
T=2.5000000000000004, Entropy = 25.47532646921804
T=2.6000000000000005, Entropy = 24.970093441013173
T=2.7000000000000006, Entropy = 24.51658755956039
T=2.8000000000000007, Entropy = 24.108293835528883
T=2.900000000000001, Entropy = 23.739654962296775
T=3.000000000000001, Entropy = 23.405911325637632
T=3.100000000000001, Entropy = 23.102971032836148
T=3.200000000000001, Entropy = 22.827303660030697
T=3.300000000000001, Entropy = 22.575852892529884
T=3.4000000000000012, Entropy = 22.345964325447436
T=3.5000000000000013, Entropy = 22.13532551034008
T=3.6000000000000014, Entropy = 21.941915953199647
T=3.7000000000000015, Entropy = 21.763965243195255
T=3.8000000000000016, Entropy = 21.599917857630885
T=3.9000000000000017, Entropy = 21.448403473734366
T=4.000000000000002, Entropy = 21.308211841776398
T=4.100000000000001, Entropy = 21.178271451067232
T=4.200000000000002, Entropy = 21.05763136131146
T=4.3000000000000025, Entropy = 20.94544568465616
T=4.400000000000002, Entropy = 20.840960294624633
T=4.500000000000002, Entropy = 20.743501411641414
T=4.600000000000002, Entropy = 20.652465774602515
T=4.700000000000003, Entropy = 20.567312156705952
T=4.8000000000000025, Entropy = 20.487554023709
T=4.900000000000002, Entropy = 20.412753165627954
