T=0.1, entropy=18260.96170824255
T=0.2, entropy=9130.48085421806
T=0.30000000000000004, entropy=6086.9873451119165
T=0.4, entropy=4565.244955623265
T=0.5, entropy=3652.236614551831
T=0.6, entropy=3043.6995552616263
T=0.7000000000000001, entropy=2609.331987563619
T=0.8, entropy=2284.0584166218396
T=0.9, entropy=2031.7623207525903
T=1.0, entropy=1830.7745114687189
T=1.1, entropy=1667.2807911694215
T=1.2000000000000002, entropy=1532.0324754992992
T=1.3000000000000003, entropy=1418.5825935370904
T=1.4000000000000001, entropy=1322.2851292452863
T=1.5000000000000002, entropy=1239.700140914306
T=1.6, entropy=1168.2250270585778
T=1.7000000000000002, entropy=1105.8564671919485
T=1.8000000000000003, entropy=1051.0305675049653
T=1.9000000000000001, entropy=1002.5117259990308
T=2.0, entropy=959.3132046433678
T=2.1, entropy=920.6391885691039
T=2.2, entropy=885.841877667405
T=2.3000000000000003, entropy=854.3893349585281
T=2.4000000000000004, entropy=825.8411533535785
T=2.5000000000000004, entropy=799.8298705793469
T=2.6, entropy=776.0466499411741
T=2.7, entropy=754.2301537115505
T=2.8000000000000003, entropy=734.1578253917686
T=2.9000000000000004, entropy=715.6390040840109
T=3.0000000000000004, entropy=698.5094433929551
T=3.1, entropy=682.6269155241445
T=3.2, entropy=667.8676603131671
T=3.3000000000000003, entropy=654.1234970557693
T=3.4000000000000004, entropy=641.2994600503871
T=3.5000000000000004, entropy=629.3118508536676
T=3.6, entropy=618.0866243428443
T=3.7, entropy=607.5580438969876
T=3.8000000000000003, entropy=597.6675548811365
T=3.9000000000000004, entropy=588.3628362536184
T=4.0, entropy=579.5969983269266
T=4.1, entropy=571.3279010899087
T=4.2, entropy=563.5175724872752
T=4.3, entropy=556.1317099746403
T=4.3999999999999995, entropy=549.1392517727425
T=4.5, entropy=542.5120067134169
T=4.6, entropy=536.2243335483298
T=4.7, entropy=530.2528621803748
T=4.8, entropy=524.5762505633999
T=4.9, entropy=519.174972060014
