T=0.1, entropy=18776.280544437526
T=0.2, entropy=9388.140277080403
T=0.30000000000000004, entropy=6258.760766474293
T=0.4, entropy=4694.076955352115
T=0.5, entropy=3755.288321784258
T=0.6, entropy=3129.477407230216
T=0.7000000000000001, entropy=2682.5520025323995
T=0.8, entropy=2347.478107790762
T=0.9, entropy=2087.023043151369
T=1.0, entropy=1878.8524261536495
T=1.1, entropy=1708.7561619236203
T=1.2000000000000002, entropy=1567.2616463992686
T=1.3000000000000003, entropy=1447.8103526047494
T=1.4000000000000001, entropy=1345.71612399004
T=1.5000000000000002, entropy=1257.5403688485314
T=1.6, entropy=1180.7017397712168
T=1.7000000000000002, entropy=1113.2237200856075
T=1.8000000000000003, entropy=1053.5664625346456
T=1.9000000000000001, entropy=1000.5118186137828
T=2.0, entropy=953.082923915235
T=2.1, entropy=910.4868061025113
T=2.2, entropy=872.0726782689367
T=2.3000000000000003, entropy=837.3011344648671
T=2.4000000000000004, entropy=805.721060260468
T=2.5000000000000004, entropy=776.9520925291528
T=2.6, entropy=750.6711302221316
T=2.7, entropy=726.6018427911533
T=2.8000000000000003, entropy=704.5064246441733
T=2.9000000000000004, entropy=684.1790519586852
T=3.0000000000000004, entropy=665.4406436258331
T=3.1, entropy=648.1346312119304
T=3.2, entropy=632.1235168628838
T=3.3000000000000003, entropy=617.2860518597646
T=3.4000000000000004, entropy=603.5149080288004
T=3.5000000000000004, entropy=590.7147435160749
T=3.6, entropy=578.800586384182
T=3.7, entropy=567.6964760828739
T=3.8000000000000003, entropy=557.3343154879909
T=3.9000000000000004, entropy=547.652895927441
T=4.0, entropy=538.5970651287683
T=4.1, entropy=530.1170138982832
T=4.2, entropy=522.1676619433455
T=4.3, entropy=514.7081268912432
T=4.3999999999999995, entropy=507.7012634515049
T=4.5, entropy=501.1132619840434
T=4.6, entropy=494.91329759457443
T=4.7, entropy=489.0732223839036
T=4.8, entropy=483.5672946989581
T=4.9, entropy=478.37194023097175
